id,startTime,week,visTeam,homeTeam,created_at,updated_at
6_NYJ_MIA,2020-10-18 04:05 PM,6,NYJ,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
6_WAS_NYG,2020-10-18 01:00 PM,6,WAS,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
7_BUF_NYJ,2020-10-25 01:00 PM,7,BUF,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
7_CAR_NO,2020-10-25 01:00 PM,7,CAR,NO,2020-11-12 03:39:48,2020-11-12 03:39:48
7_CHI_LAR,2020-10-26 08:15 PM,7,CHI,LAR,2020-11-12 03:39:48,2020-11-12 03:39:48
7_CLE_CIN,2020-10-25 01:00 PM,7,CLE,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
7_DAL_WAS,2020-10-25 01:00 PM,7,DAL,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
7_DET_ATL,2020-10-25 01:00 PM,7,DET,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
7_GB_HOU,2020-10-25 01:00 PM,7,GB,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
7_JAX_LAC,2020-10-25 04:25 PM,7,JAX,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
7_KC_DEN,2020-10-25 04:25 PM,7,KC,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
7_NYG_PHI,2020-10-22 08:20 PM,7,NYG,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
7_PIT_TEN,2020-10-25 01:00 PM,7,PIT,TEN,2020-11-12 03:39:48,2020-11-12 03:39:48
7_SEA_ARI,2020-10-25 04:05 PM,7,SEA,ARI,2020-11-12 03:39:48,2020-11-12 03:39:48
7_SF_NE,2020-10-25 04:25 PM,7,SF,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
7_TB_LV,2020-10-25 08:20 PM,7,TB,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
8_ATL_CAR,2020-10-29 08:20 PM,8,ATL,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
